phase,step_num,s0,s1,s4,s7,s0+s1+s4+s7
epoch,3,28.163265306122447,87.55102040816325,90.91836734693878,55.51020408163265,98.87755102040816
epoch,4,28.061224489795915,86.22448979591837,93.46938775510203,51.73469387755102,99.28571428571429
epoch,5,32.04081632653061,85.0,93.46938775510203,58.57142857142858,99.6938775510204
epoch,6,31.326530612244895,84.38775510204081,93.06122448979592,61.42857142857143,99.18367346938776
epoch,7,29.183673469387756,85.20408163265306,91.63265306122449,59.591836734693885,98.46938775510205
epoch,8,28.061224489795915,89.18367346938776,95.0,57.6530612244898,98.67346938775509
epoch,9,28.061224489795915,88.06122448979592,96.12244897959184,61.12244897959184,99.18367346938776
epoch,10,30.102040816326532,85.81632653061224,93.9795918367347,62.44897959183674,99.38775510204081
epoch,11,28.469387755102044,89.28571428571429,93.6734693877551,61.73469387755102,98.67346938775509
epoch,12,29.489795918367346,86.42857142857143,94.38775510204081,58.77551020408164,99.18367346938776
epoch,13,27.142857142857142,87.65306122448979,93.77551020408164,59.591836734693885,98.9795918367347
epoch,14,32.3469387755102,86.22448979591837,94.38775510204081,56.734693877551024,99.48979591836735
epoch,15,31.93877551020408,87.14285714285714,94.6938775510204,62.857142857142854,99.48979591836735
epoch,16,30.102040816326532,88.06122448979592,94.28571428571428,57.85714285714286,99.59183673469387
epoch,17,28.57142857142857,87.34693877551021,95.10204081632652,64.48979591836735,99.38775510204081
epoch,18,27.95918367346939,87.24489795918367,93.9795918367347,63.163265306122454,99.79591836734694
epoch,19,28.57142857142857,90.40816326530611,95.10204081632652,62.244897959183675,99.89795918367346
epoch,20,31.93877551020408,87.44897959183675,95.0,62.755102040816325,99.79591836734694
epoch,21,30.612244897959183,87.65306122448979,95.0,57.14285714285714,99.89795918367346
epoch,22,31.122448979591837,90.10204081632654,94.89795918367348,57.75510204081633,99.28571428571429
epoch,23,29.69387755102041,89.6938775510204,95.20408163265306,61.42857142857143,99.79591836734694
epoch,24,29.897959183673468,87.85714285714286,95.10204081632652,61.42857142857143,99.48979591836735
epoch,25,27.448979591836736,88.57142857142857,94.89795918367348,57.55102040816327,99.79591836734694
epoch,26,27.95918367346939,87.75510204081633,95.71428571428572,63.6734693877551,99.28571428571429
epoch,27,30.816326530612244,88.16326530612245,94.59183673469389,65.10204081632654,99.28571428571429
epoch,28,28.97959183673469,88.57142857142857,94.79591836734694,61.73469387755102,99.48979591836735
epoch,29,30.714285714285715,89.59183673469387,94.38775510204081,60.61224489795919,99.38775510204081
epoch,30,31.326530612244895,90.20408163265307,95.10204081632652,62.142857142857146,99.48979591836735
epoch,31,29.28571428571429,90.3061224489796,95.91836734693877,64.28571428571429,100.0
epoch,32,30.918367346938773,90.3061224489796,95.10204081632652,63.9795918367347,99.6938775510204
epoch,33,27.653061224489793,90.0,95.10204081632652,59.08163265306122,99.38775510204081
epoch,34,31.428571428571427,88.87755102040816,96.53061224489797,58.57142857142858,99.18367346938776
epoch,35,29.897959183673468,88.87755102040816,95.0,64.28571428571429,99.59183673469387
epoch,36,32.244897959183675,89.6938775510204,93.87755102040816,64.18367346938776,99.48979591836735
epoch,37,32.755102040816325,89.08163265306122,95.0,63.6734693877551,99.79591836734694
epoch,38,31.122448979591837,89.48979591836735,95.0,64.6938775510204,99.79591836734694
epoch,39,29.69387755102041,90.0,93.87755102040816,62.65306122448979,99.48979591836735
epoch,40,28.6734693877551,88.57142857142857,95.0,63.87755102040816,98.87755102040816
epoch,41,32.244897959183675,87.75510204081633,95.51020408163265,63.469387755102034,99.08163265306122
epoch,42,32.44897959183673,88.16326530612245,95.10204081632652,65.3061224489796,99.28571428571429
epoch,43,29.38775510204082,89.38775510204081,94.38775510204081,63.26530612244898,99.48979591836735
epoch,44,33.265306122448976,86.93877551020408,95.91836734693877,60.40816326530612,99.59183673469387
epoch,45,33.46938775510204,89.59183673469387,94.89795918367348,58.06122448979592,99.08163265306122
epoch,46,31.326530612244895,88.9795918367347,94.79591836734694,64.79591836734694,99.48979591836735
epoch,47,29.897959183673468,90.0,94.6938775510204,64.89795918367346,99.08163265306122
epoch,48,29.081632653061224,87.65306122448979,94.89795918367348,65.91836734693878,99.48979591836735
epoch,49,28.367346938775512,89.28571428571429,96.12244897959184,61.12244897959184,99.48979591836735
epoch,50,28.775510204081634,87.14285714285714,94.89795918367348,65.61224489795919,99.38775510204081
epoch,51,28.6734693877551,89.89795918367346,95.10204081632652,65.0,99.79591836734694
epoch,52,30.20408163265306,89.79591836734694,95.71428571428572,62.755102040816325,99.79591836734694
epoch,53,28.061224489795915,84.59183673469389,93.9795918367347,65.20408163265307,98.87755102040816
epoch,54,29.183673469387756,87.95918367346938,94.89795918367348,65.3061224489796,99.48979591836735
epoch,55,30.102040816326532,89.59183673469387,95.61224489795919,63.9795918367347,99.48979591836735
epoch,56,31.93877551020408,87.75510204081633,95.71428571428572,65.40816326530611,99.6938775510204
epoch,57,31.326530612244895,89.28571428571429,95.0,63.9795918367347,99.28571428571429
epoch,58,30.20408163265306,89.6938775510204,95.40816326530613,63.6734693877551,99.48979591836735
epoch,59,30.0,88.9795918367347,95.71428571428572,65.10204081632654,99.6938775510204
epoch,60,26.836734693877553,90.40816326530611,94.79591836734694,62.95918367346939,98.77551020408163
epoch,61,26.93877551020408,89.59183673469387,94.79591836734694,63.36734693877551,99.18367346938776
epoch,62,28.061224489795915,90.3061224489796,95.71428571428572,65.10204081632654,98.9795918367347
epoch,63,27.346938775510203,85.61224489795919,93.36734693877551,64.89795918367346,98.06122448979592
epoch,64,29.591836734693878,91.12244897959184,94.89795918367348,64.18367346938776,98.46938775510205
epoch,65,32.44897959183673,88.87755102040816,93.77551020408164,64.48979591836735,99.28571428571429
epoch,66,31.734693877551017,90.91836734693878,94.89795918367348,63.6734693877551,98.87755102040816
epoch,67,32.04081632653061,89.48979591836735,93.87755102040816,56.63265306122449,99.38775510204081
epoch,68,31.22448979591837,89.48979591836735,94.59183673469389,62.857142857142854,99.59183673469387
epoch,69,31.020408163265305,91.63265306122449,93.9795918367347,62.44897959183674,99.08163265306122
epoch,70,29.795918367346943,87.55102040816325,95.51020408163265,62.857142857142854,99.6938775510204
epoch,71,26.224489795918366,90.71428571428571,94.6938775510204,62.142857142857146,99.28571428571429
epoch,72,28.57142857142857,90.0,96.3265306122449,65.40816326530611,99.38775510204081
epoch,73,31.326530612244895,87.04081632653062,94.28571428571428,63.775510204081634,99.38775510204081
epoch,74,28.877551020408166,87.75510204081633,95.40816326530613,61.93877551020408,98.36734693877551
epoch,75,30.816326530612244,88.46938775510203,96.12244897959184,66.83673469387756,99.79591836734694
epoch,76,31.93877551020408,83.97959183673468,93.6734693877551,67.04081632653062,99.08163265306122
epoch,77,30.918367346938773,90.81632653061224,95.40816326530613,65.71428571428571,100.0
epoch,78,31.53061224489796,88.77551020408163,94.28571428571428,67.14285714285714,99.59183673469387
epoch,79,30.918367346938773,89.18367346938776,95.10204081632652,63.57142857142857,99.6938775510204
epoch,80,29.69387755102041,87.75510204081633,93.9795918367347,65.81632653061224,99.38775510204081
epoch,81,33.9795918367347,90.91836734693878,95.20408163265306,61.224489795918366,99.89795918367346
epoch,82,28.775510204081634,88.6734693877551,95.20408163265306,65.10204081632654,99.48979591836735
epoch,83,31.122448979591837,91.12244897959184,95.0,64.18367346938776,99.79591836734694
epoch,84,31.020408163265305,88.77551020408163,94.6938775510204,60.816326530612244,99.48979591836735
epoch,85,30.0,90.81632653061224,95.20408163265306,61.73469387755102,99.6938775510204
epoch,86,32.6530612244898,90.81632653061224,95.20408163265306,63.6734693877551,99.59183673469387
epoch,87,29.38775510204082,88.57142857142857,95.20408163265306,66.42857142857143,99.59183673469387
epoch,88,29.183673469387756,89.08163265306122,95.81632653061224,61.63265306122449,99.79591836734694
epoch,89,32.755102040816325,87.65306122448979,95.71428571428572,62.34693877551021,99.79591836734694
epoch,90,30.306122448979593,89.59183673469387,95.0,66.22448979591836,99.28571428571429
epoch,91,32.6530612244898,89.08163265306122,94.18367346938776,62.142857142857146,99.18367346938776
epoch,92,31.734693877551017,89.18367346938776,95.71428571428572,64.18367346938776,99.79591836734694
epoch,93,34.79591836734694,90.0,95.3061224489796,63.36734693877551,99.6938775510204
epoch,94,30.408163265306122,89.48979591836735,95.40816326530613,64.18367346938776,99.6938775510204
epoch,95,28.6734693877551,87.55102040816325,94.48979591836735,63.26530612244898,99.89795918367346
epoch,96,30.612244897959183,90.10204081632654,94.6938775510204,61.836734693877546,99.59183673469387
epoch,97,32.04081632653061,89.38775510204081,94.6938775510204,62.04081632653061,99.59183673469387
epoch,98,33.775510204081634,90.3061224489796,96.22448979591837,61.73469387755102,99.59183673469387
epoch,99,31.63265306122449,89.89795918367346,95.51020408163265,63.469387755102034,99.59183673469387
epoch,100,31.734693877551017,89.79591836734694,95.3061224489796,66.02040816326532,99.6938775510204
epoch,101,28.367346938775512,89.6938775510204,94.89795918367348,65.40816326530611,99.48979591836735
epoch,102,31.22448979591837,90.40816326530611,95.3061224489796,62.142857142857146,99.6938775510204
epoch,103,30.918367346938773,91.22448979591836,96.42857142857143,62.95918367346939,99.79591836734694
epoch,104,28.877551020408166,89.59183673469387,95.10204081632652,63.163265306122454,99.59183673469387
epoch,105,30.102040816326532,90.40816326530611,96.12244897959184,62.857142857142854,99.79591836734694
epoch,106,31.020408163265305,88.87755102040816,95.40816326530613,62.857142857142854,99.59183673469387
epoch,107,31.020408163265305,89.28571428571429,95.81632653061224,64.79591836734694,99.48979591836735
epoch,108,33.16326530612245,90.51020408163265,95.0,62.04081632653061,99.48979591836735
epoch,109,32.04081632653061,89.28571428571429,96.22448979591837,62.95918367346939,99.6938775510204
epoch,110,28.061224489795915,90.71428571428571,95.61224489795919,65.0,99.38775510204081
epoch,111,29.489795918367346,89.79591836734694,95.71428571428572,61.0204081632653,99.48979591836735
epoch,112,30.714285714285715,88.87755102040816,95.51020408163265,62.95918367346939,99.89795918367346
epoch,113,28.57142857142857,88.87755102040816,95.51020408163265,60.816326530612244,99.79591836734694
epoch,114,28.877551020408166,89.79591836734694,94.38775510204081,62.857142857142854,99.79591836734694
epoch,115,32.142857142857146,87.65306122448979,94.28571428571428,63.06122448979592,99.18367346938776
epoch,116,30.918367346938773,90.0,95.20408163265306,63.26530612244898,99.89795918367346
epoch,117,33.06122448979592,87.95918367346938,95.40816326530613,65.0,99.59183673469387
epoch,118,30.918367346938773,90.0,95.61224489795919,63.57142857142857,99.6938775510204
epoch,119,31.93877551020408,90.71428571428571,95.91836734693877,62.755102040816325,99.59183673469387
epoch,120,32.44897959183673,90.0,96.12244897959184,62.857142857142854,99.48979591836735
epoch,121,32.755102040816325,88.26530612244898,94.28571428571428,64.18367346938776,99.08163265306122
epoch,122,31.22448979591837,91.73469387755102,96.3265306122449,67.04081632653062,99.89795918367346
epoch,123,28.775510204081634,89.38775510204081,95.91836734693877,64.28571428571429,99.28571428571429
epoch,124,29.795918367346943,89.79591836734694,94.08163265306122,65.81632653061224,99.6938775510204
epoch,125,32.244897959183675,88.36734693877551,94.6938775510204,65.10204081632654,99.59183673469387
epoch,126,32.244897959183675,90.40816326530611,96.12244897959184,62.04081632653061,99.79591836734694
epoch,127,29.69387755102041,89.38775510204081,94.79591836734694,60.816326530612244,99.59183673469387
epoch,128,29.489795918367346,90.51020408163265,94.59183673469389,62.857142857142854,99.6938775510204
epoch,129,33.36734693877551,86.73469387755102,95.81632653061224,64.79591836734694,99.38775510204081
epoch,130,29.081632653061224,89.18367346938776,96.93877551020408,63.9795918367347,99.89795918367346
epoch,131,29.591836734693878,89.08163265306122,96.0204081632653,66.73469387755102,99.59183673469387
epoch,132,29.081632653061224,89.89795918367346,96.0204081632653,61.0204081632653,99.79591836734694
epoch,133,32.44897959183673,89.48979591836735,95.61224489795919,65.3061224489796,99.79591836734694
epoch,134,30.714285714285715,90.3061224489796,94.89795918367348,58.57142857142858,99.38775510204081
epoch,135,29.69387755102041,90.51020408163265,96.63265306122449,61.836734693877546,99.38775510204081
epoch,136,32.44897959183673,90.71428571428571,95.51020408163265,64.59183673469387,99.79591836734694
epoch,137,32.95918367346939,90.3061224489796,95.81632653061224,62.44897959183674,99.08163265306122
epoch,138,32.04081632653061,89.89795918367346,95.71428571428572,62.04081632653061,99.38775510204081
epoch,139,30.816326530612244,89.48979591836735,95.81632653061224,64.48979591836735,100.0
epoch,140,31.93877551020408,89.79591836734694,95.81632653061224,62.55102040816326,99.59183673469387
